registration_area,new_susp,active_confirm,new_death,new_recover,new_confirm
Івано-Франківська,22967,426146,416,9177,18590
Волинська,14155,245731,247,7042,12403
Вінницька,11291,199299,166,5724,9401
Дніпропетровська,14728,240845,315,5294,13144
Донецька,9096,171454,87,1426,8701
Житомирська,14076,192477,210,6495,12533
Закарпатська,14367,440068,353,5980,13144
Запорізька,8911,202088,97,1867,8132
Київська,18486,385583,335,7683,14845
Кіровоградська,3992,28680,82,1118,2114
Луганська,4033,46088,61,1063,3233
Львівська,29781,934981,783,10741,27608
Миколаївська,8578,168059,133,1702,7069
Одеська,23958,770110,333,3271,22179
Полтавська,13741,105248,153,2762,8056
Рівненська,26839,309161,222,13417,17730
Сумська,12670,202490,153,3347,10605
Тернопільська,27004,373726,241,14223,19261
Харківська,35185,929433,495,6311,33250
Херсонська,3585,44193,70,1328,3236
Хмельницька,14894,230895,203,5882,13482
Черкаська,10067,170975,86,3473,8147
Чернівецька,21332,420192,437,10038,19727
Чернігівська,8277,226025,87,1423,7971
м. Київ,48428,1371190,699,11749,34362
