,Вінницька,Волинська,Дніпропетровська,Донецька,Житомирська,Закарпатська,Запорізька,Івано-Франківська,Київська,Кіровоградська,Луганська,Львівська,Миколаївська,м. Київ,Одеська,Полтавська,Рівненська,Сумська,Тернопільська,Харківська,Херсонська,Хмельницька,Черкаська,Чернівецька,Чернігівська
Вінницька,1.0,0.9930806767054172,0.9755721660448359,0.9666174947733197,0.9784496275191584,0.9340376426463204,0.9602766405869689,0.973802918465858,0.990769273401785,0.9238362539292722,0.9656749023202038,0.9675693869273769,0.9822447886162723,0.9964279295575881,0.9947618830434929,0.9597510284930217,0.9759278785734188,0.9689107649596137,0.968526483508303,0.995450518711546,0.9555676960430654,0.9893401795782866,0.983921560715898,0.9689238545995719,0.9926248234433618
Волинська,0.9930806767054173,1.0,0.9855764427342355,0.9815233355507269,0.9826009923763036,0.9436637337456188,0.977654932095978,0.9730911397734949,0.9956700575297485,0.949558837245071,0.9795290804388516,0.966340195713964,0.9890430444392261,0.990380631559306,0.9962485679226366,0.9749154688096469,0.972263382425766,0.9857579225504757,0.9827267948482091,0.9961627741569191,0.9721030067964422,0.9923373251422045,0.9882942494475353,0.9793566779555513,0.993881896075479
Дніпропетровська,0.9788221029244142,0.9855764427342355,1.0,0.9897800441628604,0.984751359574409,0.9066270233916117,0.988378186682636,0.9582162491201135,0.9889347417624771,0.9647335109822813,0.9841378207336676,0.927400420882178,0.9960213246608586,0.9700580973475206,0.99293790160484,0.9924021367513631,0.931864930048428,0.9867841576810766,0.9666282046099084,0.9928889613592656,0.98721217592932,0.9961220655142891,0.9975587817803074,0.9779529025607947,0.9956586379146897
Донецька,0.9674648058338775,0.9841629183949886,0.994355484513482,1.0,0.9918718256392116,0.9300685960800088,0.9974475587504178,0.9734536966220692,0.9922467008812289,0.9795402596360314,0.9926775849156155,0.9356263639825129,0.9969889014688839,0.9609604403125243,0.9940092344003713,0.994337686265594,0.9267824390169332,0.9966002808226062,0.9857897711385291,0.9912845840479193,0.9969842113086121,0.9959468559281227,0.9983174878173031,0.9844148539477893,0.9937668045452016
Житомирська,0.9736237383617085,0.9863075790336554,0.9872093834728183,0.9927433048410561,0.9999999999999998,0.9472775035862129,0.9934461223910656,0.9851157498320042,0.9905094110412818,0.9748056222012167,0.9875775750739489,0.9516781855533462,0.9919048121476828,0.9693184879322005,0.9916430069464375,0.9876469521518667,0.9472641701194132,0.9917636195359952,0.9873550390485129,0.9901503891557989,0.993413148042322,0.992519524787318,0.9910271493672506,0.9957232503929256,0.9906791605073979
Закарпатська,0.9641923088453885,0.9712020798176817,0.9322073068438081,0.9707078834410979,0.973420237477266,0.9999999999999999,0.9753183803768264,0.9729711776164384,0.97525426583704,0.9047073398955483,0.9654613872550395,0.9844018324817815,0.9718059545221706,0.9448609381541969,0.9622777802695703,0.930191772930257,0.9661702664125077,0.9735706767722052,0.9760145879293824,0.9779766218166989,0.9281137850257963,0.977883196369211,0.9503693628375145,0.9479873744947559,0.9797455106953761
Запорізька,0.9614907510484025,0.9793264753094859,0.9965969919342,0.9974475587504177,0.992485406472202,0.9281117283276504,1.0,0.9764771855368586,0.991184455996563,0.9851968736779777,0.9950766214026869,0.9303713629665498,0.9943936862112568,0.9570135641088833,0.9924880095257079,0.9938127654772329,0.9217566378503482,0.9973798717337935,0.9877641897346996,0.9915307369025346,0.9977766369985434,0.994402589381596,0.997907702807848,0.985374546590062,0.994252260681729
Івано-Франківська,0.9584148410595126,0.971944817124361,0.9759006817811103,0.9809216913053858,0.9854699914179423,0.9729711776164384,0.9796119338542333,1.0,0.9772564524522553,0.960334732723377,0.9819865331101212,0.9596629024786775,0.9804245641649806,0.9538771422896473,0.9783155686451206,0.9781378899979717,0.9479059375697668,0.9822761596327868,0.9884187540711576,0.9929432922212897,0.9754881494401658,0.9862623622115918,0.9769701449158359,0.98616545233695,0.9942251471822998
Київська,0.9892265447491964,0.9841798250495714,0.9845516222994689,0.9788010832784108,0.99008320445985,0.9294918319448239,0.9754622984841386,0.9644444007452259,1.0,0.9402835642240784,0.9624480089620131,0.9533041768526046,0.9905338343498363,0.9841232994949469,0.9943693145823994,0.9752411133624619,0.955236540924891,0.9722816292722719,0.9687453835601323,0.9949344129993652,0.9773608225326116,0.9941489711260436,0.9894905315457414,0.9832123120177044,0.9922186432032137
Кіровоградська,0.9238362539292722,0.9505262394369328,0.9882114226451038,0.9814152272185617,0.9748056222012167,0.90469182585649,0.9860115927353357,0.9595912837191295,0.9645657969801517,1.0,0.9842959676593999,0.8927666913216535,0.981756397491791,0.9127425203806893,0.9745237125629618,0.9909151829336457,0.884554392069922,0.983173080870478,0.9627183004368758,0.9745533960677485,0.9858816573618242,0.9776457072825897,0.9848213751879242,0.9724585992944031,0.9737456904424856
