,Вінницька,Волинська,Дніпропетровська,Донецька,Житомирська,Закарпатська,Запорізька,Івано-Франківська,Київська,Кіровоградська,Луганська,Львівська,Миколаївська,м. Київ,Одеська,Полтавська,Рівненська,Сумська,Тернопільська,Харківська,Херсонська,Хмельницька,Черкаська,Чернівецька,Чернігівська
Вінницька,0.9999999999999999,0.9926455669978977,0.9744895802005291,0.9648856368200432,0.9797449043451238,0.9753543803151895,0.9591831532977182,0.9737290390006892,0.9898580895510498,0.9301577165350928,0.9643919410188284,0.9882746723487901,0.9823162508757736,0.9961590637159953,0.9946367184993615,0.9563381679807025,0.973748278894363,0.9695704012922087,0.9685160938593562,0.99483974174521,0.9527401708549686,0.9883885322671556,0.9832350099502658,0.9680064552759476,0.9920150111161219
Волинська,0.9926455669978979,1.0,0.984317289081405,0.9786197433351203,0.9818939561595674,0.9794593322807977,0.976624308318882,0.9738882919660516,0.9956577613670273,0.9445705432306253,0.9788344960607743,0.9949119842956292,0.9882535490356399,0.9940035345463626,0.996446912953463,0.9716937374788641,0.9794451083622705,0.9858934854174051,0.9844546050628097,0.9958072653710712,0.9687136963050219,0.9919633535409378,0.9870382853891818,0.9779223861944435,0.9932370990526055
Дніпропетровська,0.977219102854534,0.9844956086836893,0.9999999999999999,0.9860997835343176,0.9811918982736683,0.9607572570160825,0.9862058581686671,0.9611933198412772,0.9894699947854125,0.9588720427455346,0.9887191858328765,0.9941169160565522,0.996342076914936,0.9932601524248101,0.9919181559453967,0.9900484038875902,0.9675129717803143,0.9861686081123429,0.9664765447575254,0.9925588948295604,0.982741071345802,0.9954816047349725,0.9966841971157744,0.9737232076887175,0.994177653019329
Донецька,0.9645507338304309,0.9966833102565577,0.9941252045750798,0.9999999999999998,0.991776443465683,0.9823742518377723,0.9973591227024882,0.9730422911097022,0.9911577663142792,0.977479551407792,0.9927932491270485,0.9965270882087475,0.9975474994857159,0.9889126866441941,0.993169169553908,0.9938290092179525,0.9793932240454739,0.9962108928801787,0.9857884302707118,0.9900625621469995,0.9970247938424798,0.9954374642150452,0.9980750148034016,0.98463479576222,0.9928311043370246
Житомирська,0.9734077499377255,0.9949553490145985,0.9869342131580636,0.9922134053187998,1.0,0.9882459201089799,0.9926778942734648,0.9846023645156973,0.9901357662411875,0.9712884015712332,0.9863774397983291,0.9942550668312561,0.991395880070885,0.9902585441982639,0.9911385174923953,0.9872684345019118,0.9857959398263686,0.9906039879813506,0.991658611433083,0.989517083398965,0.9928265631475726,0.9922711153757326,0.9899874675497554,0.9956431443908713,0.9896143559768822
Закарпатська,0.9849993920444153,0.9944456602022532,0.9888772787972445,0.9706094507027806,0.9926552209199003,0.9999999999999999,0.9952300146716898,0.9949258870028933,0.9949266980280803,0.9860415295088618,0.9701802490685351,0.993755549877925,0.9823775723862689,0.9979859632865316,0.9863721768743368,0.9624476651629047,0.9966147776547447,0.971243654380921,0.9937192466889224,0.9898892560069126,0.9931790541539922,0.9855338245268176,0.9829046063312797,0.9961292160961235,0.9839958716176844
Запорізька,0.9628483264782891,0.9963437024999192,0.9967125586602776,0.9971987118776012,0.9917963800997329,0.989784401562344,1.0,0.9831368479586863,0.990662962421756,0.9837765141558368,0.9959077529084744,0.9955073110440417,0.9950390949989686,0.9947296582380094,0.991962232513835,0.9931358771228198,0.9881027762790265,0.9968784588188152,0.9885620154483433,0.9909026690293359,0.996522141666501,0.9940631397465834,0.9979005917718667,0.9850466065707238,0.9939098745853887
Івано-Франківська,0.9888928312181335,0.9951031875251963,0.995752174304403,0.979467620805639,0.9952364353238249,0.9971650101057538,0.9954012307069532,1.0,0.9968288061658152,0.991916413380918,0.9802913931470209,0.9940898698154931,0.9873152156653133,0.9978118305450518,0.9918342106602202,0.9755854150090861,0.9970026278632041,0.9807296499513052,0.9935871629880798,0.9964792294667675,0.994363089715112,0.9919711573343651,0.9815727880459599,0.998070171161322,0.9939369381733585
Київська,0.9908371868918251,0.982362758301629,0.9799176200670894,0.9734280738445764,0.9878336638139452,0.9845593899638494,0.9691036738442265,0.9615118601471824,0.9999999999999999,0.9466049512160841,0.9582225043591637,0.9906833028874111,0.9888972352068895,0.984608935235975,0.995431394655876,0.9702865822520315,0.957117289602215,0.9690164728127839,0.964617065480447,0.995080482388428,0.9707444423337577,0.9921553704222694,0.9862542982513698,0.9785365542387615,0.9910318801213666
Кіровоградська,0.9678736450131695,0.9902301435086118,0.9868529479852026,0.9796152497184433,0.9901578545590446,0.9923057923277603,0.99072445136164,0.9889722275409066,0.9896170025871781,1.0,0.9845572247481492,0.9895588514599043,0.9816510160427162,0.9974102219396234,0.9776876583208379,0.9899626122503448,0.9931106678322151,0.9821484691730326,0.9856807671687122,0.9725023235872802,0.9895229787425497,0.9831826220931466,0.9826327074127867,0.9899520980120006,0.9950507004310519
Луганська,0.974033055658343,0.9944970384992429,0.9888282097051126,0.9675072465622881,0.966108173172422,0.987867254202804,0.9739244717540744,0.9855564352631343,0.9900156272885063,0.9417148443245402,1.0,0.9861582097681082,0.9895757005904798,0.9898792446005522,0.9879738923287802,0.9719844077421695,0.9925353495669161,0.9808685816880717,0.980747444944768,0.9838818096118664,0.9601300397364271,0.9832582666066185,0.9923250744860118,0.9876232404831764,0.9848347918716875
Львівська,0.9879909800777553,0.9945380520672605,0.98776454109783,0.9854821528340484,0.979695299455402,0.9931736522611481,0.9906877247908522,0.9865351894811938,0.9941779092500659,0.9726411020334514,0.9618375822121136,0.9999999999999999,0.9673983780838422,0.994599835908099,0.986417213182987,0.9496709154696247,0.9905737734120466,0.956182709685044,0.9967758237943423,0.9815687942978855,0.981802181646812,0.9889105453174845,0.9899338505519949,0.9905548610663204,0.9885408359802336
Миколаївська,0.9856754810930027,0.9857817652936149,0.995856954061523,0.983519150634453,0.9853544275163493,0.9647727487220078,0.981680849856552,0.9638585322004702,0.9918463893131984,0.9490339092690184,0.9827832576175841,0.9921319134859452,1.0,0.9852267649888496,0.9926525543350534,0.9857549863421411,0.9545570538669521,0.9830301562485071,0.965877312098921,0.9947746578187241,0.9804825388903498,0.9950492083681709,0.9967669814955541,0.9768186959931546,0.9950379445270263
м. Київ,0.9885880353823936,0.9877973419339471,0.953567925993041,0.9408006172840612,0.9594449243691415,0.986371643905641,0.9617955221894818,0.9839496084975604,0.9863576243007398,0.9110550753760704,0.9616660414420592,0.9877758982227253,0.9627801157946811,0.9999999999999998,0.9881376935256586,0.9230743621228087,0.9746137368483907,0.9393110579369639,0.9675771895401117,0.9784857732823071,0.9483498325918934,0.9727986217448344,0.9677199137951729,0.9689468823860433,0.9878787238120896
Одеська,0.9927987075779492,0.9877648080437595,0.9768814781274454,0.9686720742084016,0.9798067476398686,0.9878906178170356,0.9789111672208795,0.972678167315509,0.9910382601936292,0.9531169844224676,0.9677253622410021,0.9864401224003937,0.9864709684493358,0.9946273546293463,1.0,0.9615540596086173,0.9714461378397948,0.9658231098833396,0.9800109267260232,0.9970894979926664,0.9678824339492269,0.9924537514254979,0.9847578552712507,0.9738443506333819,0.9944012594975645
Полтавська,0.9615851294432537,0.9918178276702286,0.99007518916199,0.9939717171273965,0.9857876667849687,0.970564431103572,0.9925603472620873,0.958760989516293,0.9846641982412544,0.9712687273266706,0.9832308897500615,0.9893704712526523,0.9915278617966305,0.9903343156374133,0.9885107568635995,1.0,0.9689120756565988,0.993009575419003,0.9758724353224595,0.9889747801700753,0.9938506652102231,0.9921286106344143,0.9942468271807338,0.9778944257334707,0.9905638402526002
Рівненська,0.9824633319430396,0.9940232054422764,0.9772286824666253,0.9688954371617334,0.9709793337175044,0.9858085794210317,0.9814097481057809,0.9721743846700486,0.9851394832922697,0.9518046370411937,0.9447873179345422,0.9932414043602923,0.955616673302865,0.9893284279537173,0.9785952530320046,0.9197589360442879,1.0,0.9452407263124646,0.9880329725374949,0.9744028584554912,0.9709384190705667,0.9791546654093022,0.9837443040104242,0.976775723987679,0.9800550315655676
Сумська,0.9755635373250536,0.9964425554837344,0.995846714067097,0.9892983130102783,0.9825194324918904,0.9950298430768584,0.9921286105719658,0.9885536050610396,0.995836079687272,0.9743990496145772,0.9973678765191589,0.9949826441539729,0.9946976110005405,0.988629796471808,0.9904535879324357,0.9873331016198481,0.9931030865638982,1.0,0.99391345761375,0.9866187503179035,0.9835715119557179,0.99287849943278,0.9951182581528176,0.9928794119211699,0.9904984293145168
Тернопільська,0.911705876934159,0.9531544720547196,0.7656730689740576,0.884822425395559,0.9325149735622164,0.954408604768739,0.9514335697523598,0.9454469479464602,0.9768702999563282,0.8804876249378291,0.8549746435308332,0.9688814269095577,0.9110909963092928,0.8505526634038365,0.8118811885822818,0.6565932535070258,0.8842552636723161,0.8898327160631401,1.0,0.8502937587018198,0.7455539832613957,0.9458894236643223,0.860727726332572,0.9676234011897469,0.8865024581636308
Харківська,0.9932854202820516,0.9923957427551484,0.9857690306682131,0.9806736555430874,0.9868299560689138,0.9820917490279432,0.9787972337735693,0.9720712841445677,0.993327144228189,0.946729046777791,0.9748362689054361,0.9912949138098417,0.992334018707553,0.9912556404785711,0.9970894979926666,0.9755056199032162,0.9701492610290346,0.9775606746935651,0.9782256749551022,1.0,0.9740311927095943,0.9965159108753793,0.9896738292429555,0.9813451759074207,0.9964763487992255
Херсонська,0.958054711553396,0.9967935108500916,0.993672777162744,0.9982651114589542,0.9928265631475726,0.9838399293830205,0.9981554281287575,0.9735400080144655,0.9858118249711624,0.9807851298464265,0.9933602600780087,0.9958305332549878,0.9963105501976636,0.9871582786571322,0.9902994457436896,0.9953799688043794,0.9793590613576111,0.9965271982050481,0.9878904141723289,0.9862020661137721,1.0,0.9920975613817542,0.9974958896117058,0.9869878571155406,0.9911885381413594
