,Вінницька,Волинська,Дніпропетровська,Донецька,Житомирська,Закарпатська,Запорізька,Івано-Франківська,Київська,Кіровоградська,Луганська,Львівська,Миколаївська,м. Київ,Одеська,Полтавська,Рівненська,Сумська,Тернопільська,Харківська,Херсонська,Хмельницька,Черкаська,Чернівецька,Чернігівська
Вінницька,0,0,0,0,23,0,0,73,17,0,0,0,0,17,18,0,0,54,52,24,0,0,0,0,7
Волинська,0,0,0,0,0,0,0,73,32,0,6,0,13,16,54,0,0,54,53,49,0,1,10,0,14
Дніпропетровська,9,0,0,0,0,0,0,73,33,0,4,0,0,17,57,0,0,53,54,43,0,32,4,0,31
Донецька,6,7,17,0,0,0,0,0,40,0,16,0,24,18,62,0,0,5,56,58,0,44,23,0,46
Житомирська,7,11,21,4,0,0,3,0,42,0,51,0,28,18,63,3,0,8,58,67,1,15,28,0,56
Закарпатська,43,28,28,51,68,0,81,0,64,1,62,0,62,22,90,20,4,80,62,77,20,68,54,0,68
Запорізька,7,8,19,0,0,0,0,0,40,0,16,0,24,18,72,2,0,5,56,68,0,48,23,0,51
Івано-Франківська,37,14,25,27,2,0,7,0,50,3,55,0,56,18,84,21,0,8,59,79,0,65,47,0,68
Київська,6,0,0,0,23,0,0,0,0,0,19,0,0,18,17,0,0,52,58,32,0,12,0,0,25
Кіровоградська,0,6,21,21,0,0,2,0,41,0,14,0,47,17,78,14,0,7,56,72,16,49,28,0,55
Луганська,21,0,5,0,45,100,0,70,23,0,0,0,8,5,44,0,0,0,44,51,0,0,11,0,2
Львівська,43,31,0,51,61,0,78,87,64,0,60,0,56,32,81,57,0,80,59,81,0,66,22,0,67
Миколаївська,9,0,0,0,0,0,0,73,9,0,1,0,0,18,58,0,0,52,55,36,0,24,1,0,28
м. Київ,0,0,0,0,45,100,0,69,21,0,0,0,8,0,39,0,0,0,44,0,0,0,0,0,0
Одеська,0,0,0,0,1,0,0,80,0,0,4,0,0,17,0,0,0,0,54,1,0,0,0,0,6
Полтавська,8,9,0,2,0,0,0,0,36,0,15,0,26,17,57,0,0,57,55,58,0,32,21,0,47
Рівненська,43,9,0,51,56,0,0,80,57,0,52,0,0,51,100,0,0,56,55,59,0,1,0,6,64
Сумська,29,3,14,0,0,0,0,80,33,0,11,0,18,14,53,0,0,0,52,58,0,44,18,0,46
Тернопільська,94,100,0,82,31,66,0,32,12,0,0,81,0,0,9,0,100,0,0,0,0,100,0,26,100
Харківська,0,0,0,0,0,0,0,73,0,0,0,0,0,16,0,0,0,0,52,0,0,0,0,0,5
Херсонська,7,11,21,5,0,0,3,0,42,0,19,0,28,18,74,2,0,8,58,62,0,50,27,0,53
Хмельницька,0,0,0,0,0,0,0,73,27,0,6,0,13,15,49,0,0,0,51,23,0,0,13,0,13
Черкаська,8,0,0,0,0,100,0,73,12,0,1,0,0,17,56,0,0,53,54,37,0,27,0,0,25
Чернівецька,2,7,21,3,1,0,5,0,0,0,51,0,28,18,95,4,0,9,59,77,1,14,28,0,63
Чернігівська,0,0,0,0,0,100,0,70,21,0,0,0,5,9,37,0,0,0,48,0,0,0,0,0,0
