,Вінницька,Волинська,Дніпропетровська,Донецька,Житомирська,Закарпатська,Запорізька,Івано-Франківська,Київська,Кіровоградська,Луганська,Львівська,Миколаївська,м. Київ,Одеська,Полтавська,Рівненська,Сумська,Тернопільська,Харківська,Херсонська,Хмельницька,Черкаська,Чернівецька,Чернігівська
Вінницька,0,0,0,147,27,127,0,71,11,201,0,136,0,16,21,0,0,52,51,23,0,0,0,0,6
Волинська,0,0,0,0,0,180,0,71,30,0,5,166,13,180,52,0,182,52,51,50,0,0,12,0,14
Дніпропетровська,9,162,0,0,0,177,0,71,30,0,1,160,4,178,55,0,177,51,51,46,0,30,3,0,32
Донецька,5,174,17,0,0,185,1,199,40,0,17,175,23,187,63,0,187,55,54,59,0,43,24,0,46
Житомирська,6,179,18,2,0,189,3,0,41,0,49,181,25,198,60,2,191,8,197,68,0,11,28,0,53
Закарпатська,205,197,187,49,196,0,202,203,196,203,197,197,192,201,187,197,195,80,198,186,200,203,203,199,186
Запорізька,201,173,17,0,0,184,0,198,39,0,14,173,20,189,70,14,187,5,194,66,0,45,22,193,50
Івано-Франківська,205,198,187,30,196,189,202,0,195,202,58,198,192,201,187,21,193,9,198,185,199,176,201,198,68
Київська,5,0,0,0,21,139,0,210,0,210,225,143,0,20,17,0,140,50,215,30,0,11,0,0,23
Кіровоградська,201,174,20,20,191,183,196,198,188,0,14,173,186,191,181,14,187,6,193,180,193,171,27,192,176
Луганська,186,158,3,172,182,172,186,186,23,0,0,125,7,174,44,0,173,0,45,51,188,0,8,181,2
Львівська,43,184,187,130,194,189,200,202,195,202,197,0,192,199,187,198,192,78,198,185,199,177,201,198,151
Миколаївська,9,0,0,0,0,121,0,71,8,0,1,156,0,179,56,0,179,50,52,36,0,22,0,0,27
м. Київ,20,158,0,123,43,114,188,65,19,193,0,125,6,0,39,0,174,0,42,22,189,0,0,183,0
Одеська,0,0,0,128,0,126,198,78,0,201,2,136,0,16,0,0,188,0,196,0,196,0,0,0,5
Полтавська,8,174,15,2,0,183,0,0,35,0,15,174,28,182,57,0,183,56,54,58,0,31,21,0,47
Рівненська,43,177,186,128,190,185,197,200,192,200,194,177,187,189,106,197,0,56,195,59,194,176,200,195,182
Сумська,198,168,13,0,187,179,0,194,185,0,10,169,16,182,178,14,182,0,190,58,191,168,16,189,143
Тернопільська,93,111,135,81,135,66,145,32,136,148,143,81,136,115,138,145,111,159,0,126,147,116,148,141,104
Харківська,0,0,0,0,0,126,0,78,0,201,5,137,0,16,0,0,183,52,194,0,0,1,0,0,15
Херсонська,206,177,20,4,0,187,4,0,41,0,19,178,28,192,74,2,190,9,197,62,0,50,27,0,52
Хмельницька,0,0,0,0,0,124,0,73,29,0,6,134,13,179,50,0,182,0,50,22,0,0,11,0,14
Черкаська,8,0,0,0,0,116,0,71,12,0,0,159,0,165,35,0,165,50,50,37,0,29,0,0,6
Чернівецька,206,181,187,2,0,189,199,0,195,0,49,180,26,198,187,2,192,9,198,75,0,178,28,0,63
Чернігівська,0,0,0,0,0,117,0,68,19,0,0,129,5,9,36,0,177,0,46,22,0,0,0,186,0
